title,property_size,bedrooms,bathrooms,furnishing,region,region_name,region_parent_name,is_boost,price
2bdrm Apartment in Life Camp for sale,250.0,2,2,unfurnished,"Gwarinpa, Life Camp",Life Camp,Gwarinpa,False,"₦ 75,000,000"
Furnished 3bdrm Bungalow in Zone B for sale,600.0,3,4,furnished,"Apo District, Zone B",Zone B,Apo District,enterprise,"₦ 200,000,000"
"1bdrm Bungalow in Ughoton, Warri for sale",232.0,1,1,unfurnished,"Delta State, Warri",Warri,Delta State,vip_gold,"₦ 40,000,000"
3bdrm Block of Flats in Oshimili South for sale,1800.0,3,3,semi-furnished,"Delta State, Oshimili South",Oshimili South,Delta State,False,"₦ 350,000,000"
4bdrm Duplex in Lekki for sale,200.0,4,5,semi-furnished,"Lagos State, Lekki",Lekki,Lagos State,False,"₦ 205,000,000"
3bdrm Duplex in Ado / Ajah for sale,500.0,3,3,semi-furnished,"Ajah, Ado / Ajah",Ado / Ajah,Ajah,False,"₦ 125,000,000"
3bdrm Apartment in Ikate for sale,500.0,3,3,unfurnished,"Lekki, Ikate",Ikate,Lekki,False,"₦ 200,000,000"
"5bdrm Mansion in Estate, Enugu for sale",750.0,5,7,semi-furnished,"Enugu State, Enugu",Enugu,Enugu State,enterprise,"₦ 250,000,000"
3bdrm Duplex in Lekki Phase 1 for sale,500.0,3,3,semi-furnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lekki,False,"₦ 300,000,000"
4bdrm Duplex in Lekki Phase 1 for sale,500.0,4,4,unfurnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lekki,False,"₦ 650,000,000"
4bdrm Duplex in Ogba Bus-Stop for sale,500.0,4,4,semi-furnished,"Ogba, Ogba Bus-Stop",Ogba Bus-Stop,Ogba,False,"₦ 260,000,000"
4bdrm Duplex in Ado / Ajah for sale,500.0,4,4,semi-furnished,"Ajah, Ado / Ajah",Ado / Ajah,Ajah,False,"₦ 170,000,000"
Furnished 4bdrm Duplex in Ikate for sale,500.0,4,4,furnished,"Lekki, Ikate",Ikate,Lekki,False,"₦ 300,000,000"
5bdrm Duplex in Anthony Village for sale,500.0,5,5,semi-furnished,"Maryland, Anthony Village",Anthony Village,Maryland,False,"₦ 320,000,000"
5bdrm Duplex in Off Lekki-Epe Expressway for sale,500.0,5,5,semi-furnished,"Ajah, Off Lekki-Epe Expressway",Off Lekki-Epe Expressway,Ajah,False,"₦ 550,000,000"
2bdrm Apartment in Lekki Phase 1 for sale,500.0,2,2,semi-furnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lekki,False,"₦ 230,000,000"
5bdrm Duplex in Lekki Phase 1 for sale,500.0,5,5,semi-furnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lekki,False,"₦ 1,200,000,000"
4bdrm Duplex in Osapa london for sale,500.0,4,4,semi-furnished,"Lekki, Osapa london",Osapa london,Lekki,False,"₦ 850,000,000"
4bdrm Duplex in Oko-Oba for sale,500.0,4,4,semi-furnished,"Agege, Oko-Oba",Oko-Oba,Agege,False,"₦ 230,000,000"
3bdrm Apartment in Lekki Phase 1 for sale,500.0,3,3,semi-furnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lekki,False,"₦ 300,000,000"
Furnished 3bdrm Duplex in Lugbe District for sale,350.0,3,4,furnished,"Abuja (FCT), Lugbe District",Lugbe District,Abuja (FCT),False,"₦ 70,000,000"
5bdrm Duplex in Lekki Expressway for sale,500.0,5,5,semi-furnished,"Lekki, Lekki Expressway",Lekki Expressway,Lekki,False,"₦ 320,000,000"
4bdrm Duplex in Papa Ajao / Surulere for sale,500.0,4,4,semi-furnished,"Surulere, Papa Ajao / Surulere",Papa Ajao / Surulere,Surulere,False,"₦ 260,000,000"
4bdrm Duplex in Ogba GRA for sale,500.0,4,4,semi-furnished,"Ogba, Ogba GRA",Ogba GRA,Ogba,False,"₦ 230,000,000"
4bdrm Duplex in Omole Phase 1 for sale,500.0,4,4,semi-furnished,"Ikeja, Omole Phase 1",Omole Phase 1,Ikeja,False,"₦ 550,000,000"
