title,Region,Region Name,Region Parent Name,price_title,property_size,bedrooms,bathrooms,furnishing,is_boost
2bdrm Block of Flats in Ojoo Abeokuta North for sale,"Ogun State, Abeokuta North",Abeokuta North,Ogun State,7500000,1600.0,2,2,Unfurnished,False
"Furnished 5bdrm Duplex in Hampton Bay Estate, Ikate for sale","Lekki, Ikate",Ikate,Lekki,850000000,500.0,5,6,Furnished,vip_gold
4bdrm Duplex in Lekki Phase 2 for sale,"Lekki, Lekki Phase 2",Lekki Phase 2,Lekki,220000000,450.0,4,4,Semi-Furnished,premium
Furnished 4bdrm Duplex in Lekki for sale,"Lagos State, Lekki",Lekki,Lagos State,600000000,350.0,4,4,Furnished,enterprise
Furnished 3bdrm Bungalow in Ijebu Ode for sale,"Ogun State, Ijebu Ode",Ijebu Ode,Ogun State,85000000,600.0,3,3,Furnished,False
2bdrm Apartment in Ikate for sale,"Lekki, Ikate",Ikate,Lekki,120000000,500.0,2,2,Unfurnished,premium
4bdrm House in Victoria Island Extension for sale,"Victoria Island, Victoria Island Extension",Victoria Island Extension,Victoria Island,800000000,1200.0,4,4,Semi-Furnished,diamond
"8bdrm Duplex in Ikolaba Estate, Agodi for sale","Ibadan, Agodi",Agodi,Ibadan,250000000,922.0,8,6,Unfurnished,False
1bdrm Block of Flats in Ikorodu for sale,"Lagos State, Ikorodu",Ikorodu,Lagos State,230000000,854.0,1,1,Unfurnished,False
Furnished 2bdrm Duplex in Fo1 Kubwa for sale,"Abuja (FCT), Kubwa",Kubwa,Abuja (FCT),100000000,1000.0,2,3,Furnished,vip_gold
Furnished 3bdrm Apartment in Ikeja GRA for sale,"Ikeja, Ikeja GRA",Ikeja GRA,Ikeja,400000000,200.0,3,3,Furnished,vip_gold
3bdrm Bungalow in Osun State for sale,Osun State,Osun State,,12000000,60.0,3,4,Unfurnished,False
Studio Apartment in Owerri for sale,"Imo State, Owerri",Owerri,Imo State,30000000,200.0,1,1,Unfurnished,False
2bdrm Block of Flats in Maitama for sale,"Abuja (FCT), Maitama",Maitama,Abuja (FCT),200000000,60.0,2,3,Semi-Furnished,enterprise
4bdrm Duplex in Ikota for sale,"Lekki, Ikota",Ikota,Lekki,350000000,450.0,4,4,Semi-Furnished,premium
2bdrm Block of Flats in Kubwa for sale,"Abuja (FCT), Kubwa",Kubwa,Abuja (FCT),600000000,1200.0,2,2,Unfurnished,False
Furnished 5bdrm Duplex in Lekki Phase 2 for sale,"Lekki, Lekki Phase 2",Lekki Phase 2,Lekki,550000000,600.0,5,5,Furnished,premium
"7bdrm Duplex in Ochacho Estate, Idu Industrial for sale","Abuja (FCT), Idu Industrial",Idu Industrial,Abuja (FCT),290000000,300.0,7,6,Unfurnished,False
5bdrm Duplex in Life Camp for sale,"Gwarinpa, Life Camp",Life Camp,Gwarinpa,280000000,3000.0,5,5,Semi-Furnished,premium
"3bdrm House in Olayemi Estate, Erunwe for sale","Ikorodu, Erunwe",Erunwe,Ikorodu,42000000,325.0,3,3,Unfurnished,False
